cmpdiupacname,rotbonds,hbonddonor,mf,cid,complexity,mw,heavycnt,cmpdname,polararea,cmpdinchikey,hbondacc,xlogp
2-(1H-imidazol-5-yl)acetic acid,2,2,C5H6N2O2,96215,116,126.113,9,Imidazole-4-acetic acid,66,PRJKNHOMHKJCEJ-UHFFFAOYSA-N,3,0
1H-imidazol-5-yl acetate,2,1,C5H6N2O2,55288237,116,126.113,9,SCHEMBL7158594,55,CNTAIRDMODWEMT-UHFFFAOYSA-N,3,0
5-(hydroxymethyl)-1H-imidazole-4-carbaldehyde,2,2,C5H6N2O2,18962506,107,126.113,9,SCHEMBL9030435,66,AIJWXLUQDZQEOJ-UHFFFAOYSA-N,3,-0.001
1H-imidazol-5-ylmethyl formate,3,1,C5H6N2O2,87322184,97,126.113,9,SCHEMBL1999107,55,XTTAHXRAIZHPJM-UHFFFAOYSA-N,3,0
2-(1H-imidazol-3-ium-5-yl)acetate,1,2,C5H6N2O2,28305488,110,126.113,9,CJ-16308,70.1,PRJKNHOMHKJCEJ-UHFFFAOYSA-N,2,0
1H-imidazole-5-carbohydrazide,1,3,C4H6N4O,225355,115,126.116,9,1H-Imidazole-5-carbohydrazide,83.8,FYMACJSAHLBMHV-UHFFFAOYSA-N,3,-0.001
4-amino-1H-imidazole-5-carboxamide,1,3,C4H6N4O,9679,126,126.116,9,360-97-4,97.8,DVNYTAVYBRSTGK-UHFFFAOYSA-N,3,0
N-(5-amino-1H-imidazol-4-yl)formamide,1,3,C4H6N4O,19373512,107,126.116,9,SCHEMBL4460329,83.8,LCRAZBPEFKSTOS-UHFFFAOYSA-N,3,0
1H-imidazol-5-ylurea,1,3,C4H6N4O,19879912,115,126.116,9,SCHEMBL5508165,83.8,WGKPAABGWFKPHA-UHFFFAOYSA-N,2,-0.001
"2,6,8-tritritio-7H-purine",0,1,C5H4N4,60003386,105,126.136,9,,54.5,KDCGOANMDULRCW-YLZNBVSGSA-N,3,-0.4
"2H-imidazo[4,5-d]thiadiazole",0,1,C3H2N4S,53629148,97.3,126.139,8,imidazothiadiazole,82.7,BOXRDDIXJOUZLV-UHFFFAOYSA-N,4,0
"1H-imidazo[4,5-c][1,2,5]thiadiazole",0,1,C3H2N4S,20093444,97.3,126.139,8,SCHEMBL9168630,82.7,ZMVRJHRGTYUTBO-UHFFFAOYSA-N,4,0
3-(1H-imidazol-5-yl)propan-1-ol,3,2,C6H10N2O,572700,77.5,126.156,9,3-(1H-Imidazol-4-yl)-1-propanol,48.9,DKFVEDKCRIZEEM-UHFFFAOYSA-N,2,-0.1
5-(2-methoxyethyl)-1H-imidazole,3,1,C6H10N2O,4460438,77.5,126.156,9,AC1NB0A7,37.9,MUTOVUILAXFBEM-UHFFFAOYSA-N,2,0.1
(2R)-1-(1H-imidazol-5-yl)propan-2-ol,2,2,C6H10N2O,60093916,87.1,126.156,9,,48.9,SFABOSBETMVMIP-RXMQYKEDSA-N,2,0
5-[(1S)-1-methoxyethyl]-1H-imidazole,2,1,C6H10N2O,89980140,87.1,126.156,9,SCHEMBL15487947,37.9,WRWLXIUMXXHYAH-YFKPBYRVSA-N,2,0
5-(ethoxymethyl)-1H-imidazole,3,1,C6H10N2O,55288318,77.5,126.156,9,SCHEMBL2841402,37.9,CHPYZDMYLNLQIY-UHFFFAOYSA-N,2,0
(2S)-2-(1H-imidazol-5-yl)propan-1-ol,2,2,C6H10N2O,59949409,87.1,126.156,9,,48.9,DRLZNFFPBUROJV-RXMQYKEDSA-N,2,0
(2R)-2-(1H-imidazol-5-yl)propan-1-ol,2,2,C6H10N2O,59949078,87.1,126.156,9,,48.9,DRLZNFFPBUROJV-YFKPBYRVSA-N,2,0
2-(1H-imidazol-5-yl)propan-2-ol,1,2,C6H10N2O,58951914,103,126.156,9,SCHEMBL2626793,48.9,KEFQRCFSWHTICI-UHFFFAOYSA-N,2,0
1H-imidazole;2-methyloxirane,0,1,C6H10N2O,88697134,54.5,126.156,9,SCHEMBL10951985,41.2,KZCALWJKLIXENR-UHFFFAOYSA-N,2,
4-ethoxy-5-methyl-1H-imidazole,2,1,C6H10N2O,10986229,87.1,126.156,9,4-ethoxy-5-methyl-1H-imidazole,37.9,KIASLKQJMUZOKI-UHFFFAOYSA-N,2,0.001
5-cyclopropyl-1H-imidazole;hydrate,1,2,C6H10N2O,19031527,88.5,126.156,9,,29.7,YUBHPOVLZNMTAG-UHFFFAOYSA-N,2,
1H-imidazole;propanal,1,1,C6H10N2O,18759766,45.3,126.156,9,SCHEMBL5508281,45.8,YKRQTJWUSJWPDM-UHFFFAOYSA-N,2,
5-propan-2-yl-1H-imidazol-4-ol,1,2,C6H10N2O,57158194,95.1,126.156,9,,48.9,YXZQTGZARLZKPP-UHFFFAOYSA-N,2,0.001
5-propoxy-1H-imidazole,3,1,C6H10N2O,19600407,77.5,126.156,9,SCHEMBL7991058,37.9,MYAHXELEBXQOIK-UHFFFAOYSA-N,2,0.001
1-(1H-imidazol-5-yl)propan-2-ol,2,2,C6H10N2O,21299398,87.1,126.156,9,AKOS023406405,48.9,SFABOSBETMVMIP-UHFFFAOYSA-N,2,0
5-[(1R)-1-methoxyethyl]-1H-imidazole,2,1,C6H10N2O,86711398,87.1,126.156,9,SCHEMBL15488288,37.9,WRWLXIUMXXHYAH-RXMQYKEDSA-N,2,0
5-ethyl-4-methoxy-1H-imidazole,2,1,C6H10N2O,45092622,87.1,126.156,9,4-Methoxy-5-ethyl-1H-imidazole,37.9,VWKIOPYFNFPOTG-UHFFFAOYSA-N,2,0.001
2-(1H-imidazol-5-yl)propan-1-ol,2,2,C6H10N2O,20648678,87.1,126.156,9,,48.9,DRLZNFFPBUROJV-UHFFFAOYSA-N,2,0
1-(1H-imidazol-5-yl)propan-1-ol,2,2,C6H10N2O,12344799,87.1,126.156,9,SCHEMBL9006224,48.9,PSZNVZASULWHGV-UHFFFAOYSA-N,2,0
4-(methoxymethyl)-5-methyl-1H-imidazole,2,1,C6H10N2O,12362436,87.1,126.156,9,SCHEMBL9435548,37.9,ZOHLKTFCEUOOOQ-UHFFFAOYSA-N,2,0
(4-ethyl-1H-imidazol-5-yl)methanol,2,2,C6H10N2O,12615450,87.1,126.156,9,SCHEMBL4964159,48.9,BLPWCLBWWYDASB-UHFFFAOYSA-N,2,0
2-(5-methyl-1H-imidazol-4-yl)ethanol,2,2,C6H10N2O,12456212,87.1,126.156,9,SCHEMBL5157739,48.9,ASCUVHKNQDPJNA-UHFFFAOYSA-N,2,0
5-(1-methoxyethyl)-1H-imidazole,2,1,C6H10N2O,85564256,87.1,126.156,9,SCHEMBL15487948,37.9,WRWLXIUMXXHYAH-UHFFFAOYSA-N,2,0
5-(2-aminoethyl)-1H-imidazol-4-amine,2,3,C5H10N4,98774519,85,126.159,9,ZINC107109725,80.7,OKSBUDMQXJAARL-UHFFFAOYSA-N,3,0
"2-(1H-imidazol-5-yl)ethane-1,1-diamine",2,3,C5H10N4,90888777,83,126.159,9,,80.7,OHXRKPDOXAJBIK-UHFFFAOYSA-N,3,-1.5
2-(1H-imidazol-5-yl)ethylhydrazine,3,3,C5H10N4,21408106,75.4,126.159,9,790166-69-7,66.7,VAILBIYRRISJBD-UHFFFAOYSA-N,3,-0.9
[4-(aminomethyl)-1H-imidazol-5-yl]methanamine,2,3,C5H10N4,45092609,85,126.159,9,"1H-IMIDAZOLE-4,5-DIMETHANAMINE",80.7,NVXCHCRJASEREF-UHFFFAOYSA-N,3,-0.002
[(2R)-1-(1H-imidazol-5-yl)propan-2-yl]azanium,2,2,C6H12N3+,21728543,84.4,126.179,9,,56.3,XNQIOISZPFVUFG-RXMQYKEDSA-O,1,-0.3
1-(1H-imidazol-5-yl)ethanethione,1,1,C5H6N2S,57282650,103,126.179,8,,60.8,AHNCBPFKVVYSQP-UHFFFAOYSA-N,2,0
5-methyl-1H-imidazole-4-carbothialdehyde,1,1,C5H6N2S,14796670,94.4,126.179,8,SCHEMBL9436240,60.8,PIFDTQQVTVZPQH-UHFFFAOYSA-N,2,0
[(2S)-1-(1H-imidazol-5-yl)propan-2-yl]azanium,2,2,C6H12N3+,29946133,84.4,126.179,9,ZINC22013479,56.3,XNQIOISZPFVUFG-YFKPBYRVSA-O,1,-0.3
"4,5-dimethyl-1H-imidazole;ethane",0,1,C7H14N2,90990864,63.1,126.199,9,,28.7,GCUZQOVZKYFZOM-UHFFFAOYSA-N,1,
ethane;5-ethyl-1H-imidazole,1,1,C7H14N2,53839079,54,126.199,9,,28.7,GHTZXJLPLNGCPK-UHFFFAOYSA-N,1,
butane;1H-imidazole,1,1,C7H14N2,22568484,30.1,126.199,9,SCHEMBL3031766,28.7,QIJZHTMNCPGZRJ-UHFFFAOYSA-N,1,
sodium;1H-imidazole;chloride,0,1,C3H4ClN2Na,70487654,30.1,126.52,7,SCHEMBL10992121,28.7,UKGYFYSDOOTHGR-UHFFFAOYSA-M,2,
1H-imidazole;nickel(2+),0,1,C3H4N2Ni+2,91987247,28.1,126.77,6,"1H-IMIDAZOLE, NICKEL(2+) SALT",28.7,ZTPJZFMBTRUSMM-UHFFFAOYSA-N,1,
1H-imidazole;nickel,0,1,C3H4N2Ni,87244995,28.1,126.77,6,SCHEMBL1450393,28.7,MGEDARBYSUJQFR-UHFFFAOYSA-N,1,
cobalt;1H-imidazole,0,1,C3H4CoN2,69972429,28.1,127.01,6,SCHEMBL7055706,28.7,ADXCQUSZSZFWMK-UHFFFAOYSA-N,1,
cobalt(2+);1H-imidazole,0,1,C3H4CoN2+2,18183446,28.1,127.01,6,OR115973,28.7,ZOJPWFWGRLXAJF-UHFFFAOYSA-N,1,
4-hydroxy-1H-imidazole-5-carboxamide,1,3,C4H5N3O2,124343,127,127.101,9,5-hydroxy-1H-imidazole-4-carboxamide,92,UEWSIIBPZOBMBL-UHFFFAOYSA-N,3,0
4-amino-1H-imidazole-5-carboxylic acid,1,3,C4H5N3O2,117,127,127.101,9,5-amino-1H-imidazole-4-carboxylic acid,92,PWCLNQLPYQVWAB-UHFFFAOYSA-N,4,0
5-methyl-4-nitro-1H-imidazole,0,1,C4H5N3O2,26385,122,127.101,9,4-Methyl-5-nitroimidazole,74.5,WSYOWIMKNNMEMZ-UHFFFAOYSA-N,3,0.2
N-(4-hydroxy-1H-imidazol-5-yl)formamide,1,3,C4H5N3O2,90444106,108,127.101,9,SCHEMBL16079874,78,BNVVZAHRFQOIQA-UHFFFAOYSA-N,3,0
1H-imidazol-5-yl carbamate,2,2,C4H5N3O2,69335877,116,127.101,9,SCHEMBL5160015,81,PJWUXFKNIRZFSB-UHFFFAOYSA-N,3,0
1H-imidazol-5-ylcarbamic acid,1,3,C4H5N3O2,17872574,116,127.101,9,SCHEMBL2511381,78,DDRMUMIMWNBGSI-UHFFFAOYSA-N,3,-0.4
N-hydroxy-1H-imidazole-5-carboxamide,1,3,C4H5N3O2,54338402,116,127.101,9,SCHEMBL13485764,78,TXEIRNWERRICOY-UHFFFAOYSA-N,3,0
4-azanyl-1H-imidazole-5-carboxamide,1,3,C4H6N4O,101129871,126,127.106,9,,97.8,DVNYTAVYBRSTGK-YJLNIGGRSA-N,3,
4-azanyl-1H-imidazole-5-carboxamide,1,3,C4H6N4O,101129870,126,127.106,9,,97.8,DVNYTAVYBRSTGK-FOUGKNBISA-N,3,
4-azanyl-1H-imidazole-5-carboxamide,1,3,C4H6N4O,11073434,126,127.11,9,,97.8,DVNYTAVYBRSTGK-HOSYLAQJSA-N,3,0
4-amino-1H-imidazole-5-carboxamide,1,3,C4H6N4O,10866341,126,127.11,9,,97.8,DVNYTAVYBRSTGK-PTQBSOBMSA-N,3,0
4-amino-2-deuterio-1H-imidazole-5-carboxamide,1,3,C4H6N4O,87210822,126,127.122,9,,97.8,DVNYTAVYBRSTGK-MICDWDOJSA-N,3,0
(4-carbamoyl-1H-imidazol-5-yl)azanium,1,3,C4H7N4O+,3703924,126,127.124,9,AC1MV8MC,99.4,DVNYTAVYBRSTGK-UHFFFAOYSA-O,2,-1.1
5-(2-aminoethyl)-1H-imidazol-4-ol,2,3,C5H9N3O,557598,88.3,127.144,9,5-(2-Aminoethyl)-1H-imidazol-4-ol,74.9,OEQKZMRJSSEHEM-UHFFFAOYSA-N,3,0
2-amino-1-(1H-imidazol-5-yl)ethanol,2,3,C5H9N3O,148046,88.3,127.144,9,2-amino-1-(1H-imidazol-5-yl)ethanol,74.9,BGQUJROFLRFZDN-UHFFFAOYSA-N,3,-0.001
(1R)-2-amino-1-(1H-imidazol-5-yl)ethanol,2,3,C5H9N3O,92253804,88.3,127.144,9,R-beta-Hydroxyhistamine,74.9,BGQUJROFLRFZDN-RXMQYKEDSA-N,3,-0.001
(1S)-2-amino-1-(1H-imidazol-5-yl)ethanol,2,3,C5H9N3O,92253806,88.3,127.144,9,S-beta-Hydroxyhistamine,74.9,BGQUJROFLRFZDN-YFKPBYRVSA-N,3,-0.001
1-(1H-imidazol-5-yl)-N-methoxymethanamine,3,2,C5H9N3O,55300526,78.6,127.144,9,ZINC78737760,49.9,KQCISRPQICOQIH-UHFFFAOYSA-N,3,0
4-ethoxy-1H-imidazol-5-amine,2,2,C5H9N3O,83619684,88.3,127.144,9,AKOS023346007,63.9,JMPLBJWWONBVAF-UHFFFAOYSA-N,3,0
N-[(5-methyl-1H-imidazol-4-yl)methyl]hydroxylamine,2,3,C5H9N3O,82686310,88.3,127.144,9,ZINC82836099,60.9,BUSNGBBKAPLQTR-UHFFFAOYSA-N,3,0
N-(1H-imidazol-5-ylmethyl)-N-methylhydroxylamine,2,2,C5H9N3O,82593686,88.3,127.144,9,SCHEMBL14770801,52.2,MGCLFXUZLDMZDG-UHFFFAOYSA-N,3,0
2-amino-2-(1H-imidazol-5-yl)ethanol,2,3,C5H9N3O,82593687,88.3,127.144,9,AKOS022902822,74.9,OAOSUDTTZYKBFQ-UHFFFAOYSA-N,3,-0.001
2-(1H-imidazol-5-yloxy)ethanamine,3,2,C5H9N3O,57215348,78.6,127.144,9,,63.9,KQUUALCZZKOLEK-UHFFFAOYSA-N,3,0
(1H-imidazol-5-ylmethylamino)methanol,3,3,C5H9N3O,20675586,78.6,127.144,9,,60.9,URQBCNQELVHMRQ-UHFFFAOYSA-N,3,-1.1
N-(methoxymethyl)-1H-imidazol-5-amine,3,2,C5H9N3O,88972351,78.6,127.144,9,SCHEMBL12860286,49.9,REEUUCPRAXIPDG-UHFFFAOYSA-N,3,0
1H-imidazole-5-carbothioate,1,1,C4H3N2OS-,22366102,106,127.144,8,,83.8,UUKFQKOPXUZHHW-UHFFFAOYSA-M,3,0.001
O-[(5-methyl-1H-imidazol-4-yl)methyl]hydroxylamine,2,2,C5H9N3O,23161716,88.3,127.144,9,SCHEMBL13141001,63.9,ZCQSILRHPFWOOH-UHFFFAOYSA-N,3,0
N-[2-(1H-imidazol-5-yl)ethyl]hydroxylamine,3,3,C5H9N3O,54280501,78.6,127.144,9,,60.9,RQLLCBPTFACWDH-UHFFFAOYSA-N,3,-0.7
2-(1H-imidazol-5-ylamino)ethanol,3,3,C5H9N3O,23064422,78.6,127.144,9,799814-23-6,60.9,NKNODUHXIHCBHC-UHFFFAOYSA-N,3,0
1-amino-2-(1H-imidazol-5-yl)ethanol,2,3,C5H9N3O,13797446,88.3,127.144,9,,74.9,VKKSJSPKGPIMKF-UHFFFAOYSA-N,3,-1.2
guanidine;1H-imidazole,0,4,C4H9N5,20448354,54.3,127.147,9,SCHEMBL2018065,105,JKRXKSRPSDULLR-UHFFFAOYSA-N,2,
1H-imidazole-5-carbothioamide,1,2,C4H5N3S,2776276,104,127.167,8,1H-Imidazole-4-carbothioamide,86.8,CUOPCGNBQZKKNU-UHFFFAOYSA-N,2,0
"3,4-dihydro-2H-imidazo[4,5-d][1,3]thiazole",0,2,C4H5N3S,68911693,97.3,127.167,8,imidazothiazoline,66,MRAUTJYJGNYQAA-UHFFFAOYSA-N,3,0.001
"3,4-dihydro-2H-imidazo[4,5-d][1,2]thiazole",0,2,C4H5N3S,66881278,97.3,127.167,8,SCHEMBL1027123,66,DECIMPYIBXUOFT-UHFFFAOYSA-N,3,0
"3,4-dihydro-1H-imidazo[4,5-c][1,2]thiazole",0,2,C4H5N3S,67787034,97.3,127.167,8,SCHEMBL9165759,66,HDDLSKYOJQEMNW-UHFFFAOYSA-N,3,0
1H-imidazole;thiocyanic acid,0,2,C4H5N3S,88673714,59.4,127.167,8,SCHEMBL10821314,53.5,QGJKCEGNUAZATI-UHFFFAOYSA-N,3,
1H-imidazol-3-ium;thiocyanate,0,2,C4H5N3S,23105188,55.4,127.167,8,,54.7,QGJKCEGNUAZATI-UHFFFAOYSA-N,2,
5-methyl-1H-imidazole;N-methylmethanamine,0,2,C6H13N3,69066548,47.6,127.187,9,SCHEMBL4496394,40.7,IYNLHXRIITXYIY-UHFFFAOYSA-N,2,
1H-imidazole;propan-1-amine,1,2,C6H13N3,19915707,35.3,127.187,9,SCHEMBL5688845,54.7,GSYXYAWEMLPANZ-UHFFFAOYSA-N,2,
1H-imidazole;N-methylethanamine,1,2,C6H13N3,22649915,35.3,127.187,9,,40.7,DEGBUENKIXPRPG-UHFFFAOYSA-N,2,
5-chloro-1H-imidazole-4-carbonitrile,0,1,C4H2ClN3,20543190,127,127.531,8,,52.5,XNGRQPLPKRDFBD-UHFFFAOYSA-N,2,0.001
3H-benzimidazol-5-ylboron,0,1,C7H5BN2,88315407,129,127.939,10,SCHEMBL8519991,28.7,VCARVQIBVPWDRW-UHFFFAOYSA-N,1,
1H-imidazol-5-yl hydrogen carbonate,2,2,C4H4N2O3,17943946,116,128.086,9,SCHEMBL1509564,75.2,PXUMMKUVHUMORO-UHFFFAOYSA-N,4,0
4-nitro-1H-imidazol-5-amine,0,2,C3H4N4O2,3848346,122,128.089,9,4-nitro-1H-imidazol-5-amine,101,DPBQZIHMIPYKHX-UHFFFAOYSA-N,4,0
N-(1H-imidazol-5-yl)nitramide,1,2,C3H4N4O2,54158404,111,128.089,9,,86.5,OMRMSPAEUOSBSI-UHFFFAOYSA-N,4,0
4-azanyl-1H-imidazole-5-carboxamide,1,3,C4H6N4O,10701851,126,128.103,9,,97.8,DVNYTAVYBRSTGK-MPOCSFTDSA-N,3,0
1-(5-fluoro-1H-imidazol-4-yl)ethanone,1,1,C5H5FN2O,89181276,128,128.104,9,SCHEMBL13827561,45.8,UIWYZIVTKWDRFI-UHFFFAOYSA-N,3,0
2-fluoro-2-(1H-imidazol-5-yl)acetaldehyde,2,1,C5H5FN2O,55266113,109,128.104,9,AKOS006310722,45.8,IHXFXFDPHQBTQR-UHFFFAOYSA-N,3,0
2-(4-fluoro-1H-imidazol-5-yl)acetaldehyde,2,1,C5H5FN2O,20320180,109,128.104,9,,45.8,GRBBRYRITMWTDY-UHFFFAOYSA-N,3,0
(4-hydroxy-1H-imidazole-5-carbonyl)azanium,1,3,C4H6N3O2+,101001186,127,128.109,9,(5-Carbamoyl-3H-imidazole-4-yl)oxonium,93.6,UEWSIIBPZOBMBL-UHFFFAOYSA-O,3,
[4-(hydroxymethyl)-1H-imidazol-5-yl]methanol,2,3,C5H8N2O2,573629,89,128.129,9,"1H-Imidazole-4,5-dimethanol",69.1,AGJXDKGTTMVHOU-UHFFFAOYSA-N,3,-0.001
"4,5-dimethoxy-1H-imidazole",2,1,C5H8N2O2,89659500,89,128.129,9,SCHEMBL15072038,47.1,JCKCALSANBFABC-UHFFFAOYSA-N,3,0
1H-imidazole;methyl formate,1,1,C5H8N2O2,90344944,46.1,128.129,9,SCHEMBL15956529,55,MFBLTUQOIRRWFM-UHFFFAOYSA-N,3,
"(1R)-1-(1H-imidazol-5-yl)ethane-1,2-diol",2,3,C5H8N2O2,55299963,89,128.129,9,AKOS006379148,69.1,UPFSGNMBAPULTH-YFKPBYRVSA-N,3,-0.001
dioxetane;1H-imidazole,0,1,C5H8N2O2,87982581,44.1,128.129,9,SCHEMBL6372988,47.1,NNEXCZIYLXWFKN-UHFFFAOYSA-N,3,
5-(methylperoxymethyl)-1H-imidazole,3,1,C5H8N2O2,88866672,79.4,128.129,9,SCHEMBL11998286,47.1,FIGAFOKRCIRGDO-UHFFFAOYSA-N,3,0
"2-(1H-imidazol-5-yl)ethane-1,1-diol",2,3,C5H8N2O2,20697120,87,128.129,9,,69.1,AGWLEXHWEINMSG-UHFFFAOYSA-N,3,-1
acetic acid;1H-imidazole,0,2,C5H8N2O2,18411416,59.1,128.129,9,"1H-Imidazole, acetate",66,OFGDSGVGRWPQJQ-UHFFFAOYSA-N,3,
"1-(1H-imidazol-5-yl)ethane-1,2-diol",2,3,C5H8N2O2,54365092,89,128.129,9,"1,2-Ethanediol, 1-(1H-imidazol-4-yl)-",69.1,UPFSGNMBAPULTH-UHFFFAOYSA-N,3,-0.001
4-(aminomethoxy)-1H-imidazol-5-amine,2,3,C4H8N4O,23546857,88.6,128.132,9,SCHEMBL13948979,90,WWICMCJDBDEIPI-UHFFFAOYSA-N,4,0
O-[(4-amino-1H-imidazol-5-yl)methyl]hydroxylamine,2,3,C4H8N4O,18726942,88.6,128.132,9,,90,SCECSOITENOYLH-UHFFFAOYSA-N,4,-0.001
1H-imidazole;urea,0,3,C4H8N4O,22055161,57.1,128.132,9,SCHEMBL241676,97.8,DKCWQRKXTQSULZ-UHFFFAOYSA-N,2,
"2,6,8,9-tetratritiopurine",0,1,C5H4N4,58583193,105,128.144,9,,54.5,KDCGOANMDULRCW-MYCMYTRYSA-N,3,0
4-fluoro-5-propan-2-yl-1H-imidazole,1,1,C6H9FN2,20713851,95.1,128.147,9,SCHEMBL10029594,28.7,BVZHFKWGSSIVRU-UHFFFAOYSA-N,2,0.001
1H-imidazole-5-carbothioic S-acid,1,2,C4H4N2OS,11094631,106,128.152,8,SCHEMBL5062922,46.8,UUKFQKOPXUZHHW-UHFFFAOYSA-N,3,0
"3,6-dihydro-1H-imidazo[4,5-c][1,2,5]thiadiazole",0,3,C3H4N4S,67787434,97.3,128.155,8,SCHEMBL9168633,78,PSMNQAHEOMPCGY-UHFFFAOYSA-N,4,0.002
"3,4-dihydro-2H-imidazo[4,5-d]thiadiazole",0,3,C3H4N4S,70444365,97.3,128.155,8,SCHEMBL10788021,78,WLERIFURWHHOHS-UHFFFAOYSA-N,4,0
5-methyl-4-(2-tritiooxyethyl)-1H-imidazole,2,2,C6H10N2O,59099593,87.1,128.164,9,,48.9,ASCUVHKNQDPJNA-FIRFLZKJSA-N,2,0
1H-imidazole;propan-2-ol,0,2,C6H12N2O,21715452,38.8,128.172,9,SCHEMBL7573227,48.9,FDMKYHVHUDSBLE-UHFFFAOYSA-N,2,
azane;2-(1H-imidazol-5-yl)ethanamine,2,3,C5H12N4,66847320,64.7,128.175,9,SCHEMBL931130,55.7,IWUJBGDUVXTGCJ-UHFFFAOYSA-N,3,
5-(methylsulfanylmethyl)-1H-imidazole,2,1,C5H8N2S,20675594,67.4,128.195,8,SCHEMBL1145804,54,MLLYSQGRMFTIIZ-UHFFFAOYSA-N,2,0
5-ethylsulfanyl-1H-imidazole,2,1,C5H8N2S,19871500,67.4,128.195,8,AKOS006358495,54,DDGHKTZKLFGHCL-UHFFFAOYSA-N,2,0.001
2-(1H-imidazol-5-yl)ethanethiol,2,2,C5H8N2S,21265858,67.4,128.195,8,SCHEMBL5512866,29.7,JBBUEBWVZMFLQO-UHFFFAOYSA-N,2,0.5
(5-methyl-1H-imidazol-4-yl)methanethiol,1,2,C5H8N2S,13373992,76.8,128.195,8,"1H-Imidazole-4-methanethiol, 5-methyl-",29.7,GCYDEHNKSNMNMN-UHFFFAOYSA-N,2,0
5-methyl-4-methylsulfanyl-1H-imidazole,1,1,C5H8N2S,13586405,76.8,128.195,8,SCHEMBL10667015,54,UJPVQNYPRMLGHM-UHFFFAOYSA-N,2,1.3
ethane;1H-imidazole,0,1,C7H16N2,54178965,28.1,128.215,9,,28.7,PALHVEAQPFAVDT-UHFFFAOYSA-N,1,
"3,6-dihydro-2H-imidazo[4,5-d]oxazaphosphole",0,2,C3H4N3OP,69533271,101,129.057,8,SCHEMBL5692323,49.9,YBSVNLWHSUSESM-UHFFFAOYSA-N,3,0
1H-imidazol-5-yl nitrate,1,1,C3H3N3O3,67902284,111,129.074,9,SCHEMBL9667913,83.7,PHSMTXVXFMHPRM-UHFFFAOYSA-N,4,0
5-nitro-1H-imidazol-4-ol,0,2,C3H3N3O3,14024250,122,129.074,9,SCHEMBL9669161,94.7,ZGINXXVCUZHPPI-UHFFFAOYSA-N,4,1
5-fluoro-1H-imidazole-4-carboxamide,1,2,C4H4FN3O,308130,129,129.092,9,5-fluoro-1H-imidazole-4-carboxamide,71.8,GBJBEFBZPYUYIV-UHFFFAOYSA-N,3,-0.9
4-amino-1H-imidazole-5-carboxamide,1,3,C4H6N4O,71313278,126,129.095,9,,97.8,DVNYTAVYBRSTGK-QZTPXDJLSA-N,3,0
4-azanyl-1H-imidazole-5-carboxamide,1,3,C4H6N4O,46780286,126,129.096,9,,97.8,DVNYTAVYBRSTGK-FDUDRMDNSA-N,3,0
carbamic acid;1H-imidazole,0,3,C4H7N3O2,66583966,61.1,129.117,9,Imidazole Carbamate,92,KDJVUTSOHYQCDQ-UHFFFAOYSA-N,3,
1H-imidazol-3-ium;carbamate,0,3,C4H7N3O2,68379452,51.6,129.117,9,SCHEMBL12803195,96.1,KDJVUTSOHYQCDQ-UHFFFAOYSA-N,2,
2-(4-fluoro-1H-imidazol-5-yl)ethanamine,2,2,C5H8FN3,541569,88.3,129.135,9,4-Fluorohistamine,54.7,XUFCIOJVJKPFMV-UHFFFAOYSA-N,3,0
2-fluoro-2-(1H-imidazol-5-yl)ethanamine,2,2,C5H8FN3,11435613,88.3,129.135,9,SCHEMBL11665254,54.7,ZWWQNZLDQCQJDX-UHFFFAOYSA-N,3,0
N-fluoro-2-(1H-imidazol-5-yl)ethanamine,3,2,C5H8FN3,54342528,78.6,129.135,9,,40.7,TZZBJCLBGDEPCD-UHFFFAOYSA-N,3,-0.1
"1,2,6,8-tetratritio-7H-purin-1-ium",0,2,C5H5N4+,91124107,105,129.152,9,,55.7,KDCGOANMDULRCW-MYCMYTRYSA-O,2,0
"5-(2-chloroethyl)-1,4-dihydroimidazol-4-ylium",2,1,C5H6ClN2+,88466759,67.4,129.567,8,,28.7,FECRCNBFHBMXLO-UHFFFAOYSA-N,1,0.8
boric acid;1H-imidazole,0,4,C3H7BN2O3,22348510,36.1,129.91,9,SCHEMBL5159681,89.4,UUOQPSKNKUVOBO-UHFFFAOYSA-N,4,
7H-purin-6-ylboron,0,1,C5H3BN4,88586856,131,129.915,10,SCHEMBL10285464,54.5,WNWPDWJWPMAUMZ-UHFFFAOYSA-N,3,
,0,1,C3H3N2O2P,70129942,131,130.041,8,SCHEMBL7561735,62.8,SWEVANCZYYMABJ-UHFFFAOYSA-N,3,-0.001
5-fluoro-1H-imidazole-4-carboxylic acid,1,2,C4H3FN2O2,582575,130,130.077,9,5-Fluoro-1H-imidazole-4-carboxylic acid,66,BKPMWUILLTUJIG-UHFFFAOYSA-N,4,0
1H-imidazole;nitrate,0,1,C3H4N3O3-,18755190,46.8,130.082,9,HE111758,91.6,XSROMLOMDFTVMJ-UHFFFAOYSA-N,4,
1H-imidazole-5-carboxylic acid;hydrate,1,3,C4H6N2O3,67151636,104,130.102,9,SCHEMBL1759996,67,WXLGNUFHZWSFDT-UHFFFAOYSA-N,4,
carbonic acid;1H-imidazole,0,3,C4H6N2O3,22179112,54.3,130.102,9,SCHEMBL384127,86.2,GYTMUNSNMBRSEW-UHFFFAOYSA-N,4,
4-fluoro-5-(methoxymethyl)-1H-imidazole,2,1,C5H7FN2O,55288406,91,130.12,9,AKOS006359313,37.9,YWXSLMAZYWXAOR-UHFFFAOYSA-N,3,0
